,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,c_incunabula_efcc7d77_0001,synthetic-google-hashcode,39375,17135,100000,300.76,29879.09,4.06,251.9,50169.84,13.14
1,c_incunabula_d1d287c8_0002,synthetic-google-hashcode,25074,10000,48557,457.38,29839.06,15.03,771.39,49511.38,18.1
2,c_incunabula_db3ee9f4_0003,synthetic-google-hashcode,84832,4291,82154,116.85,29879.09,26.83,133.66,28300.9,19.68
3,c_incunabula_85141f29_0004,synthetic-google-hashcode,47119,5856,82857,388.56,15686.33,18.64,610.84,29729.87,11.69
4,c_incunabula_cf2963bf_0005,synthetic-google-hashcode,56462,10000,52744,323.68,33992.21,8.66,313.98,52671.45,3.0
5,c_incunabula_dd5aa5df_0006,synthetic-google-hashcode,30695,3890,40944,300.76,27662.96,15.03,676.79,49511.38,4.65
6,c_incunabula_ab03fb4a_0007,synthetic-google-hashcode,29594,17370,84942,404.2,29879.09,11.58,431.93,67536.55,6.33
7,c_incunabula_40a393a6_0008,synthetic-google-hashcode,38612,10000,64416,300.76,7707.92,20.81,287.59,50213.81,17.71
8,c_incunabula_8f9a276c_0009,synthetic-google-hashcode,70399,10342,100000,76.87,15399.34,9.61,848.2,12992.51,5.8
9,c_incunabula_fccf31f9_0010,synthetic-google-hashcode,88562,16610,91810,224.24,29879.09,19.55,848.69,35119.65,3.52
10,c_incunabula_80f4f7fb_0011,synthetic-google-hashcode,58006,14497,89437,300.76,38425.7,15.03,506.08,49511.38,6.05
11,c_incunabula_aa835989_0012,synthetic-google-hashcode,58359,9248,100000,73.08,48738.22,20.5,692.97,85253.69,12.04
12,c_incunabula_a90aead7_0013,synthetic-google-hashcode,54919,12255,99087,300.76,29879.09,21.29,206.53,72876.92,6.24
13,c_incunabula_32467696_0014,synthetic-google-hashcode,93614,9322,81019,314.92,24239.85,15.03,506.08,49511.38,6.17
14,c_incunabula_14f20604_0015,synthetic-google-hashcode,100000,4486,33984,300.61,35123.86,8.01,758.11,25781.04,7.81
15,c_incunabula_6e4ae4d0_0016,synthetic-google-hashcode,59692,14854,37466,300.76,23562.0,9.25,506.08,49511.38,8.21
16,c_incunabula_06310639_0017,synthetic-google-hashcode,41111,10000,77444,317.48,29879.09,25.99,437.29,25056.29,18.61
17,c_incunabula_2bd49a91_0018,synthetic-google-hashcode,46756,16604,33103,211.33,29879.09,17.31,506.08,79384.27,20.17
18,c_incunabula_26e79df2_0019,synthetic-google-hashcode,97702,10000,100000,493.25,29879.09,22.15,710.48,49511.38,18.32
19,c_incunabula_478e2249_0020,synthetic-google-hashcode,82519,8625,73220,269.18,29879.09,13.61,506.08,61391.1,11.91
