,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,c_incunabula_e920f218_0001,synthetic-google-hashcode,58380,9224,54940,202.31,32915.04,15.18,796.94,37544.79,13.76
1,c_incunabula_b7bd88a0_0002,synthetic-google-hashcode,82594,8913,100000,252.49,27899.92,18.23,559.96,46991.85,16.63
2,c_incunabula_cf7d71ea_0003,synthetic-google-hashcode,80274,5646,75362,142.58,38451.74,14.65,506.08,27254.11,10.53
3,c_incunabula_1685d224_0004,synthetic-google-hashcode,65172,4213,100000,273.76,34589.35,24.01,483.45,21558.18,8.56
4,c_incunabula_f109a277_0005,synthetic-google-hashcode,57011,13800,44658,192.19,36783.72,16.29,506.08,27435.03,11.69
5,c_incunabula_f50bcf7e_0006,synthetic-google-hashcode,100000,8398,51040,477.91,20730.71,19.61,484.79,49511.38,16.08
6,c_incunabula_64458249_0007,synthetic-google-hashcode,61304,7666,52733,153.05,29879.09,17.99,623.27,49511.38,8.1
7,c_incunabula_17ac6e28_0008,synthetic-google-hashcode,54206,10000,44239,166.23,37945.54,15.03,518.36,29522.05,6.37
8,c_incunabula_6bde6eb0_0009,synthetic-google-hashcode,44437,10000,42407,311.12,29879.09,10.53,506.08,49511.38,11.69
9,c_incunabula_b8256a80_0010,synthetic-google-hashcode,65677,10508,83184,157.87,31502.27,16.9,311.31,47290.68,10.44
10,c_incunabula_a5854ed7_0011,synthetic-google-hashcode,89058,11980,66226,310.34,25091.27,16.59,506.08,39616.52,13.68
11,c_incunabula_d9685ea8_0012,synthetic-google-hashcode,74896,5845,78283,300.76,24414.36,8.24,223.12,75223.58,18.36
12,c_incunabula_60d6b5b5_0013,synthetic-google-hashcode,84338,10806,64240,230.78,29879.09,12.69,406.01,35596.19,8.45
13,c_incunabula_31643b41_0014,synthetic-google-hashcode,84928,7726,87437,313.1,27192.8,15.03,565.12,67721.06,11.69
14,c_incunabula_8ef44942_0015,synthetic-google-hashcode,58730,8494,73866,300.76,29879.09,15.03,617.42,78038.44,18.52
15,c_incunabula_a80d1a7f_0016,synthetic-google-hashcode,76297,10000,58141,371.78,43975.38,15.03,212.62,49511.38,12.79
16,c_incunabula_9b0a7e9a_0017,synthetic-google-hashcode,73737,7259,95640,221.15,23727.89,13.31,739.41,34917.49,9.2
17,c_incunabula_53553deb_0018,synthetic-google-hashcode,100000,15105,96244,300.76,23504.97,23.87,658.05,49511.38,15.78
18,c_incunabula_3eefa3ac_0019,synthetic-google-hashcode,51237,14116,100000,183.94,44536.62,8.64,506.08,41579.49,11.58
19,c_incunabula_c568add3_0020,synthetic-google-hashcode,97399,10407,61420,188.32,39664.55,21.18,262.21,40837.7,11.69
