,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,c_incunabula_b3e9d1c8_0001,synthetic-google-hashcode,88602,14794,37177,192.71,40437.65,15.03,506.08,38583.51,19.42
1,c_incunabula_e5fc5fe5_0002,synthetic-google-hashcode,35788,7940,100000,300.76,29879.09,24.32,446.27,49511.38,19.47
2,c_incunabula_55df5716_0003,synthetic-google-hashcode,86517,10000,47656,300.76,41959.52,8.43,506.08,30905.72,11.69
3,c_incunabula_4871c53c_0004,synthetic-google-hashcode,41499,11229,42398,360.96,40202.17,8.64,596.85,19302.06,15.66
4,c_incunabula_a8a71fd5_0005,synthetic-google-hashcode,100000,6490,70255,105.49,29879.09,8.19,396.58,37571.01,14.33
5,c_incunabula_127f62d9_0006,synthetic-google-hashcode,80545,16404,92164,402.16,19508.82,11.66,565.32,49511.38,11.69
6,c_incunabula_a99bbfab_0007,synthetic-google-hashcode,37111,7531,69484,348.26,11756.42,15.03,506.08,23035.92,4.71
7,c_incunabula_3e96e9ea_0008,synthetic-google-hashcode,100000,15215,47751,328.72,19299.59,25.11,506.08,43018.71,18.84
8,c_incunabula_82a824e9_0009,synthetic-google-hashcode,94785,6566,65660,300.76,30046.93,18.84,250.86,52118.17,14.65
9,c_incunabula_a4070e00_0010,synthetic-google-hashcode,41455,3032,100000,496.83,38888.21,11.05,177.01,75281.75,11.69
10,c_incunabula_da3d55ae_0011,synthetic-google-hashcode,43042,10000,76971,332.79,29879.09,15.03,506.08,23238.5,17.02
11,c_incunabula_92f7532e_0012,synthetic-google-hashcode,100000,10225,67818,372.4,23555.7,8.01,849.97,77377.44,11.38
12,c_incunabula_b11968c7_0013,synthetic-google-hashcode,83803,5241,100000,379.46,33105.19,21.65,465.87,36528.45,12.39
13,c_incunabula_d4614743_0014,synthetic-google-hashcode,72247,10000,67110,470.49,40624.71,6.98,506.08,25021.32,11.69
14,c_incunabula_86f2a731_0015,synthetic-google-hashcode,66490,10000,37206,248.26,24758.66,13.16,506.08,49511.38,4.68
15,c_incunabula_0403918f_0016,synthetic-google-hashcode,65998,10000,89089,491.42,21540.89,11.54,399.42,48439.01,10.03
16,c_incunabula_ab0688ed_0017,synthetic-google-hashcode,60245,10000,90257,400.31,29879.09,19.41,506.08,54835.2,11.69
17,c_incunabula_7802e0e2_0018,synthetic-google-hashcode,46026,14746,88809,464.41,22696.79,11.38,325.48,49511.38,15.08
18,c_incunabula_1c87e46e_0019,synthetic-google-hashcode,72634,10000,45076,428.62,29879.09,14.11,560.11,49511.38,11.69
19,c_incunabula_58f3ba6d_0020,synthetic-google-hashcode,90661,16217,48785,241.02,29879.09,23.5,506.08,24884.03,16.61
