,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,e_so_many_books_eea81afa_0001,synthetic-google-hashcode,89381,917,186,125.49,2724.34,491.94,5.43,1.83,648.16
1,e_so_many_books_3f9d2491_0002,synthetic-google-hashcode,57037,760,207,182.51,5780.12,728.52,3.54,2.09,701.49
2,e_so_many_books_129822f1_0003,synthetic-google-hashcode,62869,1056,227,168.51,5384.71,622.37,5.87,1.24,447.91
3,e_so_many_books_058eccc7_0004,synthetic-google-hashcode,54616,1000,200,94.81,4667.64,605.8,3.69,1.49,438.3
4,e_so_many_books_787829c1_0005,synthetic-google-hashcode,56868,1483,224,102.28,7625.34,566.04,5.86,2.12,488.32
5,e_so_many_books_32bc26ec_0006,synthetic-google-hashcode,89390,1232,122,163.66,2751.64,614.92,2.82,1.49,488.32
6,e_so_many_books_cd543bcb_0007,synthetic-google-hashcode,85185,1175,137,145.36,5187.1,266.11,7.26,1.85,450.95
7,e_so_many_books_19c5fd40_0008,synthetic-google-hashcode,83074,1337,109,166.72,5187.1,528.36,5.43,2.08,488.32
8,e_so_many_books_f8c42d74_0009,synthetic-google-hashcode,94983,652,200,111.37,3043.79,325.47,3.59,2.16,647.77
9,e_so_many_books_3ade744e_0010,synthetic-google-hashcode,100000,1339,144,139.42,6844.26,491.94,3.44,2.23,426.14
10,e_so_many_books_db2f18fa_0011,synthetic-google-hashcode,71778,1000,279,151.42,5187.1,338.31,4.9,1.11,266.54
11,e_so_many_books_329f049c_0012,synthetic-google-hashcode,53752,1056,122,68.91,3513.27,372.72,3.05,1.94,279.43
12,e_so_many_books_d3b76bdc_0013,synthetic-google-hashcode,85169,835,104,115.6,5137.97,389.44,3.47,1.87,594.84
13,e_so_many_books_00ee6187_0014,synthetic-google-hashcode,55751,963,184,125.49,5324.45,248.14,7.16,1.96,555.35
14,e_so_many_books_a7e60b4f_0015,synthetic-google-hashcode,83145,1132,167,87.86,7626.34,654.01,5.3,1.49,488.32
15,e_so_many_books_0dbf050e_0016,synthetic-google-hashcode,100000,540,287,125.49,4045.12,727.64,6.36,2.04,446.52
16,e_so_many_books_a721a845_0017,synthetic-google-hashcode,72927,1303,203,150.45,4032.21,246.65,3.47,1.89,623.24
17,e_so_many_books_5c412c4e_0018,synthetic-google-hashcode,74305,549,253,186.36,4616.8,434.63,6.04,1.02,587.44
18,e_so_many_books_9397b1b8_0019,synthetic-google-hashcode,100000,661,253,68.44,3222.73,713.89,4.59,1.25,532.6
19,e_so_many_books_871f4d63_0020,synthetic-google-hashcode,81268,579,278,181.06,5187.1,513.94,3.74,1.68,307.71
