,instance_name,source,num_books,num_libraries,num_days,average_book_score,variance_book_score,books_per_library_avg,signup_time_avg,shippings_per_library_avg,book_duplications_per_library_avg
0,d_tough_choices_5df267e3_0001,synthetic-google-hashcode,97142,30000,23281,65.0,0.0,4.45,2.49,1.11,8.15
1,d_tough_choices_2e5e24f3_0002,synthetic-google-hashcode,91841,30000,30001,76.44,0.0,7.79,2.43,1.0,7.36
2,d_tough_choices_a98984e6_0003,synthetic-google-hashcode,91297,18266,27672,65.98,0.0,7.36,2.36,1.0,4.5
3,d_tough_choices_7a3a8ea9_0004,synthetic-google-hashcode,85940,36149,30001,65.0,0.0,6.16,2.0,1.0,5.26
4,d_tough_choices_8470492f_0005,synthetic-google-hashcode,78600,21598,38028,57.34,0.0,6.43,1.51,1.15,7.36
5,d_tough_choices_f66d9d1e_0006,synthetic-google-hashcode,68452,18059,30001,50.84,0.0,6.74,2.3,1.07,7.95
6,d_tough_choices_56870095_0007,synthetic-google-hashcode,58315,32844,28541,65.0,0.0,5.03,1.41,1.37,7.36
7,d_tough_choices_ed9b3d6c_0008,synthetic-google-hashcode,69281,18867,41314,65.72,0.0,5.38,2.0,1.15,6.85
8,d_tough_choices_b9bef1ae_0009,synthetic-google-hashcode,98780,39978,30001,74.61,0.0,6.22,2.34,1.09,5.93
9,d_tough_choices_6a2f7ae0_0010,synthetic-google-hashcode,67501,30000,33523,39.29,0.0,9.24,1.3,1.17,4.48
10,d_tough_choices_a591a04a_0011,synthetic-google-hashcode,82813,30878,30001,65.0,0.0,9.12,2.21,1.03,9.23
11,d_tough_choices_b2d7ab92_0012,synthetic-google-hashcode,78600,30130,35771,85.58,0.0,7.84,2.0,1.0,5.11
12,d_tough_choices_2e777406_0013,synthetic-google-hashcode,92418,24968,30001,43.94,0.0,7.22,2.0,1.4,4.74
13,d_tough_choices_841e8c48_0014,synthetic-google-hashcode,77757,23466,20036,75.72,0.0,7.75,1.28,1.39,5.6
14,d_tough_choices_54417502_0015,synthetic-google-hashcode,91850,30000,23266,65.0,0.0,7.04,2.66,1.17,7.36
15,d_tough_choices_8e3a8481_0016,synthetic-google-hashcode,78600,27925,29503,40.49,0.0,6.73,1.32,1.33,7.32
16,d_tough_choices_3f813d47_0017,synthetic-google-hashcode,65674,23829,18813,71.66,0.0,8.98,2.37,1.0,5.28
17,d_tough_choices_7d6047be_0018,synthetic-google-hashcode,58876,30000,24423,61.49,0.0,8.81,2.0,1.23,9.62
18,d_tough_choices_bfd2c2b8_0019,synthetic-google-hashcode,78600,36628,30001,65.0,0.0,7.36,1.69,1.35,9.34
19,d_tough_choices_d768e49b_0020,synthetic-google-hashcode,78600,31695,23018,61.08,0.0,7.3,2.0,1.37,7.36
